impl,batch,algo,trial,time_ms,gflops
baseline,32,implicit_gemm,0,131.46,0.20
baseline,32,implicit_gemm,1,136.12,0.20
baseline,32,implicit_gemm,2,131.27,0.20
baseline,32,implicit_gemm,3,151.29,0.18
baseline,32,implicit_gemm,4,129.86,0.21
fused,32,implicit_gemm,0,17.90,1.49
fused,32,implicit_gemm,1,17.78,1.50
fused,32,implicit_gemm,2,17.69,1.51
fused,32,implicit_gemm,3,17.86,1.49
fused,32,implicit_gemm,4,18.17,1.47
baseline,32,implicit_precomp,0,153.31,0.17
baseline,32,implicit_precomp,1,160.78,0.17
baseline,32,implicit_precomp,2,160.17,0.17
baseline,32,implicit_precomp,3,157.85,0.17
baseline,32,implicit_precomp,4,154.17,0.17
fused,32,implicit_precomp,0,18.24,1.46
fused,32,implicit_precomp,1,18.58,1.44
fused,32,implicit_precomp,2,17.84,1.49
fused,32,implicit_precomp,3,17.72,1.50
fused,32,implicit_precomp,4,17.91,1.49
baseline,32,gemm,0,131.46,0.20
baseline,32,gemm,1,138.32,0.19
baseline,32,gemm,2,134.25,0.20
baseline,32,gemm,3,146.78,0.18
baseline,32,gemm,4,132.49,0.20
fused,32,gemm,0,18.79,1.42
fused,32,gemm,1,17.49,1.52
fused,32,gemm,2,18.16,1.47
fused,32,gemm,3,18.75,1.42
fused,32,gemm,4,17.69,1.51
baseline,32,winograd,0,123.58,0.22
baseline,32,winograd,1,127.03,0.21
baseline,32,winograd,2,128.34,0.21
baseline,32,winograd,3,144.79,0.18
baseline,32,winograd,4,136.73,0.19
fused,32,winograd,0,17.57,1.52
fused,32,winograd,1,17.19,1.55
fused,32,winograd,2,18.34,1.45
fused,32,winograd,3,18.06,1.48
fused,32,winograd,4,17.87,1.49
baseline,64,implicit_gemm,0,148.92,0.36
baseline,64,implicit_gemm,1,145.84,0.37
baseline,64,implicit_gemm,2,147.55,0.36
baseline,64,implicit_gemm,3,153.87,0.35
baseline,64,implicit_gemm,4,154.34,0.35
fused,64,implicit_gemm,0,31.75,1.68
fused,64,implicit_gemm,1,29.83,1.79
fused,64,implicit_gemm,2,30.55,1.75
fused,64,implicit_gemm,3,30.56,1.74
fused,64,implicit_gemm,4,30.13,1.77
baseline,64,implicit_precomp,0,147.33,0.36
baseline,64,implicit_precomp,1,147.96,0.36
baseline,64,implicit_precomp,2,147.76,0.36
baseline,64,implicit_precomp,3,162.76,0.33
baseline,64,implicit_precomp,4,157.90,0.34
fused,64,implicit_precomp,0,30.52,1.75
fused,64,implicit_precomp,1,30.77,1.73
fused,64,implicit_precomp,2,30.19,1.77
fused,64,implicit_precomp,3,30.50,1.75
fused,64,implicit_precomp,4,31.60,1.69
baseline,64,gemm,0,149.37,0.36
baseline,64,gemm,1,147.99,0.36
baseline,64,gemm,2,149.50,0.36
baseline,64,gemm,3,153.75,0.35
baseline,64,gemm,4,144.90,0.37
fused,64,gemm,0,31.87,1.67
fused,64,gemm,1,30.31,1.76
fused,64,gemm,2,30.56,1.74
fused,64,gemm,3,30.48,1.75
fused,64,gemm,4,30.47,1.75
baseline,64,winograd,0,145.73,0.37
baseline,64,winograd,1,138.45,0.39
baseline,64,winograd,2,141.96,0.38
baseline,64,winograd,3,150.74,0.35
baseline,64,winograd,4,145.88,0.37
fused,64,winograd,0,29.90,1.78
fused,64,winograd,1,30.93,1.72
fused,64,winograd,2,29.95,1.78
fused,64,winograd,3,30.07,1.77
fused,64,winograd,4,30.10,1.77
baseline,128,implicit_gemm,0,168.26,0.63
baseline,128,implicit_gemm,1,153.66,0.69
baseline,128,implicit_gemm,2,160.21,0.67
baseline,128,implicit_gemm,3,166.37,0.64
baseline,128,implicit_gemm,4,159.18,0.67
fused,128,implicit_gemm,0,30.57,3.49
fused,128,implicit_gemm,1,32.36,3.29
fused,128,implicit_gemm,2,30.18,3.53
fused,128,implicit_gemm,3,30.29,3.52
fused,128,implicit_gemm,4,29.85,3.57
baseline,128,implicit_precomp,0,146.15,0.73
baseline,128,implicit_precomp,1,154.82,0.69
baseline,128,implicit_precomp,2,156.51,0.68
baseline,128,implicit_precomp,3,154.88,0.69
baseline,128,implicit_precomp,4,145.97,0.73
fused,128,implicit_precomp,0,30.61,3.48
fused,128,implicit_precomp,1,30.99,3.44
fused,128,implicit_precomp,2,30.60,3.48
fused,128,implicit_precomp,3,30.50,3.50
fused,128,implicit_precomp,4,30.30,3.52
baseline,128,gemm,0,150.82,0.71
baseline,128,gemm,1,150.06,0.71
baseline,128,gemm,2,147.02,0.73
baseline,128,gemm,3,148.38,0.72
baseline,128,gemm,4,142.03,0.75
fused,128,gemm,0,30.84,3.46
fused,128,gemm,1,30.51,3.49
fused,128,gemm,2,29.90,3.57
fused,128,gemm,3,30.76,3.47
fused,128,gemm,4,30.29,3.52
baseline,128,winograd,0,139.04,0.77
baseline,128,winograd,1,159.26,0.67
baseline,128,winograd,2,139.12,0.77
baseline,128,winograd,3,148.92,0.72
baseline,128,winograd,4,158.32,0.67
fused,128,winograd,0,31.49,3.39
fused,128,winograd,1,30.49,3.50
fused,128,winograd,2,30.70,3.47
fused,128,winograd,3,30.90,3.45
fused,128,winograd,4,30.85,3.46
