impl,batch,algo,trial,time_ms,gflops
baseline,32,implicit_gemm,0,126.60,0.21
baseline,32,implicit_gemm,1,129.70,0.21
baseline,32,implicit_gemm,2,130.76,0.20
baseline,32,implicit_gemm,3,126.00,0.21
baseline,32,implicit_gemm,4,129.78,0.21
fused,32,implicit_gemm,0,17.55,1.52
fused,32,implicit_gemm,1,17.84,1.49
fused,32,implicit_gemm,2,18.00,1.48
fused,32,implicit_gemm,3,18.36,1.45
fused,32,implicit_gemm,4,17.75,1.50
baseline,32,implicit_precomp,0,156.56,0.17
baseline,32,implicit_precomp,1,170.99,0.16
baseline,32,implicit_precomp,2,170.76,0.16
baseline,32,implicit_precomp,3,161.98,0.16
baseline,32,implicit_precomp,4,146.78,0.18
fused,32,implicit_precomp,0,18.26,1.46
fused,32,implicit_precomp,1,18.34,1.45
fused,32,implicit_precomp,2,18.12,1.47
fused,32,implicit_precomp,3,17.61,1.51
fused,32,implicit_precomp,4,18.19,1.47
baseline,32,gemm,0,132.70,0.20
baseline,32,gemm,1,132.15,0.20
