impl,batch,algo,trial,time_ms,gflops
baseline,32,implicit_gemm,0,131.03,0.20
baseline,32,implicit_gemm,1,132.51,0.20
baseline,32,implicit_gemm,2,129.53,0.21
baseline,32,implicit_gemm,3,126.61,0.21
baseline,32,implicit_gemm,4,128.39,0.21
fused,32,implicit_gemm,0,NA,NA
fused,32,implicit_gemm,1,NA,NA
fused,32,implicit_gemm,2,NA,NA
fused,32,implicit_gemm,3,NA,NA
fused,32,implicit_gemm,4,NA,NA
baseline,32,implicit_precomp,0,151.96,0.18
baseline,32,implicit_precomp,1,153.88,0.17
baseline,32,implicit_precomp,2,150.19,0.18
baseline,32,implicit_precomp,3,149.59,0.18
baseline,32,implicit_precomp,4,160.90,0.17
fused,32,implicit_precomp,0,NA,NA
fused,32,implicit_precomp,1,NA,NA
fused,32,implicit_precomp,2,NA,NA
fused,32,implicit_precomp,3,NA,NA
fused,32,implicit_precomp,4,NA,NA
baseline,32,gemm,0,136.15,0.20
baseline,32,gemm,1,153.65,0.17
baseline,32,gemm,2,136.11,0.20
baseline,32,gemm,3,134.58,0.20
baseline,32,gemm,4,133.18,0.20
fused,32,gemm,0,NA,NA
fused,32,gemm,1,NA,NA
fused,32,gemm,2,NA,NA
fused,32,gemm,3,NA,NA
fused,32,gemm,4,NA,NA
baseline,32,winograd,0,124.83,0.21
baseline,32,winograd,1,124.49,0.21
baseline,32,winograd,2,126.74,0.21
baseline,32,winograd,3,122.99,0.22
baseline,32,winograd,4,141.84,0.19
fused,32,winograd,0,NA,NA
fused,32,winograd,1,NA,NA
fused,32,winograd,2,NA,NA
fused,32,winograd,3,NA,NA
fused,32,winograd,4,NA,NA
baseline,64,implicit_gemm,0,146.38,0.36
baseline,64,implicit_gemm,1,164.17,0.32
baseline,64,implicit_gemm,2,141.67,0.38
baseline,64,implicit_gemm,3,148.83,0.36
baseline,64,implicit_gemm,4,144.05,0.37
fused,64,implicit_gemm,0,NA,NA
fused,64,implicit_gemm,1,NA,NA
fused,64,implicit_gemm,2,NA,NA
fused,64,implicit_gemm,3,NA,NA
fused,64,implicit_gemm,4,NA,NA
baseline,64,implicit_precomp,0,155.91,0.34
baseline,64,implicit_precomp,1,148.77,0.36
baseline,64,implicit_precomp,2,146.67,0.36
baseline,64,implicit_precomp,3,149.26,0.36
baseline,64,implicit_precomp,4,144.36,0.37
fused,64,implicit_precomp,0,NA,NA
fused,64,implicit_precomp,1,NA,NA
fused,64,implicit_precomp,2,NA,NA
fused,64,implicit_precomp,3,NA,NA
fused,64,implicit_precomp,4,NA,NA
baseline,64,gemm,0,149.31,0.36
baseline,64,gemm,1,142.78,0.37
baseline,64,gemm,2,141.09,0.38
baseline,64,gemm,3,145.00,0.37
baseline,64,gemm,4,142.32,0.37
fused,64,gemm,0,NA,NA
fused,64,gemm,1,NA,NA
fused,64,gemm,2,NA,NA
fused,64,gemm,3,NA,NA
fused,64,gemm,4,NA,NA
baseline,64,winograd,0,143.77,0.37
baseline,64,winograd,1,139.12,0.38
baseline,64,winograd,2,133.99,0.40
baseline,64,winograd,3,136.64,0.39
baseline,64,winograd,4,147.37,0.36
fused,64,winograd,0,NA,NA
fused,64,winograd,1,NA,NA
fused,64,winograd,2,NA,NA
fused,64,winograd,3,NA,NA
fused,64,winograd,4,NA,NA
baseline,128,implicit_gemm,0,153.94,0.69
baseline,128,implicit_gemm,1,146.52,0.73
baseline,128,implicit_gemm,2,159.16,0.67
baseline,128,implicit_gemm,3,149.01,0.72
baseline,128,implicit_gemm,4,149.60,0.71
fused,128,implicit_gemm,0,NA,NA
fused,128,implicit_gemm,1,NA,NA
fused,128,implicit_gemm,2,NA,NA
fused,128,implicit_gemm,3,NA,NA
fused,128,implicit_gemm,4,NA,NA
baseline,128,implicit_precomp,0,144.42,0.74
baseline,128,implicit_precomp,1,148.71,0.72
baseline,128,implicit_precomp,2,152.02,0.70
baseline,128,implicit_precomp,3,145.37,0.73
baseline,128,implicit_precomp,4,149.08,0.72
fused,128,implicit_precomp,0,NA,NA
fused,128,implicit_precomp,1,NA,NA
fused,128,implicit_precomp,2,NA,NA
fused,128,implicit_precomp,3,NA,NA
fused,128,implicit_precomp,4,NA,NA
baseline,128,gemm,0,145.20,0.73
baseline,128,gemm,1,142.13,0.75
baseline,128,gemm,2,145.33,0.73
baseline,128,gemm,3,140.90,0.76
baseline,128,gemm,4,144.44,0.74
fused,128,gemm,0,NA,NA
fused,128,gemm,1,NA,NA
fused,128,gemm,2,NA,NA
fused,128,gemm,3,NA,NA
fused,128,gemm,4,NA,NA
baseline,128,winograd,0,142.50,0.75
baseline,128,winograd,1,134.08,0.80
baseline,128,winograd,2,135.53,0.79
baseline,128,winograd,3,137.34,0.78
baseline,128,winograd,4,146.95,0.73
fused,128,winograd,0,NA,NA
fused,128,winograd,1,NA,NA
fused,128,winograd,2,NA,NA
fused,128,winograd,3,NA,NA
fused,128,winograd,4,NA,NA
