impl,batch,algo,trial,time_ms,gflops
baseline,32,implicit_gemm,0,148.96,0.18
baseline,32,implicit_gemm,1,124.03,0.21
baseline,32,implicit_gemm,2,120.07,0.22
baseline,32,implicit_gemm,3,124.56,0.21
baseline,32,implicit_gemm,4,126.27,0.21
fused,32,implicit_gemm,0,76.14,0.35
fused,32,implicit_gemm,1,75.25,0.35
fused,32,implicit_gemm,2,75.82,0.35
fused,32,implicit_gemm,3,76.03,0.35
fused,32,implicit_gemm,4,77.07,0.35
baseline,32,implicit_precomp,0,120.86,0.22
baseline,32,implicit_precomp,1,122.67,0.22
baseline,32,implicit_precomp,2,122.59,0.22
baseline,32,implicit_precomp,3,123.36,0.22
baseline,32,implicit_precomp,4,121.38,0.22
fused,32,implicit_precomp,0,76.38,0.35
fused,32,implicit_precomp,1,77.30,0.34
fused,32,implicit_precomp,2,75.84,0.35
fused,32,implicit_precomp,3,76.61,0.35
fused,32,implicit_precomp,4,76.34,0.35
baseline,32,gemm,0,122.62,0.22
baseline,32,gemm,1,121.51,0.22
baseline,32,gemm,2,122.23,0.22
baseline,32,gemm,3,121.75,0.22
baseline,32,gemm,4,122.32,0.22
fused,32,gemm,0,76.39,0.35
fused,32,gemm,1,76.65,0.35
fused,32,gemm,2,77.37,0.34
fused,32,gemm,3,74.48,0.36
fused,32,gemm,4,78.99,0.34
baseline,32,winograd,0,113.70,0.23
baseline,32,winograd,1,115.50,0.23
baseline,32,winograd,2,116.40,0.23
baseline,32,winograd,3,114.99,0.23
baseline,32,winograd,4,118.05,0.23
fused,32,winograd,0,76.81,0.35
fused,32,winograd,1,76.87,0.35
fused,32,winograd,2,77.04,0.35
fused,32,winograd,3,77.57,0.34
fused,32,winograd,4,78.26,0.34
baseline,64,implicit_gemm,0,134.54,0.40
baseline,64,implicit_gemm,1,133.48,0.40
baseline,64,implicit_gemm,2,132.72,0.40
baseline,64,implicit_gemm,3,133.54,0.40
baseline,64,implicit_gemm,4,132.36,0.40
fused,64,implicit_gemm,0,88.31,0.60
fused,64,implicit_gemm,1,88.32,0.60
fused,64,implicit_gemm,2,89.58,0.60
fused,64,implicit_gemm,3,85.28,0.63
fused,64,implicit_gemm,4,89.48,0.60
baseline,64,implicit_precomp,0,168.86,0.32
baseline,64,implicit_precomp,1,169.46,0.31
baseline,64,implicit_precomp,2,171.11,0.31
baseline,64,implicit_precomp,3,166.15,0.32
baseline,64,implicit_precomp,4,169.85,0.31
fused,64,implicit_precomp,0,89.95,0.59
fused,64,implicit_precomp,1,86.91,0.61
fused,64,implicit_precomp,2,86.96,0.61
fused,64,implicit_precomp,3,89.92,0.59
fused,64,implicit_precomp,4,88.12,0.61
baseline,64,gemm,0,135.79,0.39
baseline,64,gemm,1,134.68,0.40
baseline,64,gemm,2,134.62,0.40
baseline,64,gemm,3,136.59,0.39
baseline,64,gemm,4,134.65,0.40
fused,64,gemm,0,90.42,0.59
fused,64,gemm,1,88.03,0.61
fused,64,gemm,2,89.42,0.60
fused,64,gemm,3,90.54,0.59
fused,64,gemm,4,87.48,0.61
baseline,64,winograd,0,128.09,0.42
baseline,64,winograd,1,126.41,0.42
baseline,64,winograd,2,128.05,0.42
baseline,64,winograd,3,127.67,0.42
baseline,64,winograd,4,151.32,0.35
fused,64,winograd,0,89.30,0.60
fused,64,winograd,1,88.66,0.60
fused,64,winograd,2,91.47,0.58
fused,64,winograd,3,85.91,0.62
fused,64,winograd,4,89.40,0.60
baseline,128,implicit_gemm,0,132.62,0.80
baseline,128,implicit_gemm,1,134.29,0.79
baseline,128,implicit_gemm,2,134.95,0.79
baseline,128,implicit_gemm,3,133.29,0.80
baseline,128,implicit_gemm,4,133.76,0.80
fused,128,implicit_gemm,0,93.23,1.14
fused,128,implicit_gemm,1,88.79,1.20
fused,128,implicit_gemm,2,89.30,1.19
fused,128,implicit_gemm,3,85.98,1.24
fused,128,implicit_gemm,4,91.13,1.17
baseline,128,implicit_precomp,0,166.15,0.64
baseline,128,implicit_precomp,1,170.49,0.63
baseline,128,implicit_precomp,2,170.37,0.63
baseline,128,implicit_precomp,3,167.83,0.64
baseline,128,implicit_precomp,4,170.44,0.63
fused,128,implicit_precomp,0,93.18,1.14
fused,128,implicit_precomp,1,86.89,1.23
fused,128,implicit_precomp,2,90.45,1.18
fused,128,implicit_precomp,3,89.83,1.19
fused,128,implicit_precomp,4,89.02,1.20
baseline,128,gemm,0,133.43,0.80
baseline,128,gemm,1,137.83,0.77
baseline,128,gemm,2,133.65,0.80
baseline,128,gemm,3,138.58,0.77
baseline,128,gemm,4,132.43,0.81
fused,128,gemm,0,89.42,1.19
fused,128,gemm,1,91.24,1.17
fused,128,gemm,2,90.20,1.18
fused,128,gemm,3,89.88,1.19
fused,128,gemm,4,89.71,1.19
baseline,128,winograd,0,127.33,0.84
baseline,128,winograd,1,131.48,0.81
baseline,128,winograd,2,124.39,0.86
baseline,128,winograd,3,128.29,0.83
baseline,128,winograd,4,129.93,0.82
fused,128,winograd,0,90.25,1.18
fused,128,winograd,1,89.17,1.20
fused,128,winograd,2,91.68,1.16
fused,128,winograd,3,86.54,1.23
fused,128,winograd,4,89.57,1.19
