impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled,256,256,32,32,3,1,1,1.32,913.04
naive,256,256,32,32,3,1,1,1.35,894.35
tiled,256,256,32,64,3,1,1,2.47,979.35
naive,256,256,32,64,3,1,1,2.66,907.07
tiled,256,256,32,128,3,1,1,4.82,1002.25
naive,256,256,32,128,3,1,1,5.27,916.59
tiled,512,512,32,32,3,1,1,5.06,955.38
naive,512,512,32,32,3,1,1,5.49,880.33
tiled,512,512,32,64,3,1,1,9.97,968.81
naive,512,512,32,64,3,1,1,10.84,891.65
tiled,512,512,32,128,3,1,1,19.82,975.12
naive,512,512,32,128,3,1,1,21.54,897.20
tiled,1024,1024,32,32,3,1,1,20.42,946.65
naive,1024,1024,32,32,3,1,1,22.23,869.35
tiled,1024,1024,32,64,3,1,1,40.69,949.94
naive,1024,1024,32,64,3,1,1,42.41,911.48
tiled,1024,1024,32,128,3,1,1,75.58,1022.88
naive,1024,1024,32,128,3,1,1,83.78,922.77
