impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled,256,256,32,32,3,1,1,1.30,928.88
naive,256,256,32,32,3,1,1,1.35,892.34
tiled,256,256,32,64,3,1,1,2.47,978.15
naive,256,256,32,64,3,1,1,2.66,909.52
tiled,256,256,32,128,3,1,1,4.84,999.07
naive,256,256,32,128,3,1,1,5.27,916.41
tiled,512,512,32,32,3,1,1,5.06,954.60
naive,512,512,32,32,3,1,1,5.49,880.34
tiled,512,512,32,64,3,1,1,9.98,968.31
naive,512,512,32,64,3,1,1,10.85,890.89
tiled,512,512,32,128,3,1,1,19.82,975.02
naive,512,512,32,128,3,1,1,21.54,897.11
tiled,1024,1024,32,32,3,1,1,20.43,946.23
naive,1024,1024,32,32,3,1,1,22.25,868.79
tiled,1024,1024,32,64,3,1,1,40.68,950.16
naive,1024,1024,32,64,3,1,1,42.41,911.52
tiled,1024,1024,32,128,3,1,1,75.57,1023.07
naive,1024,1024,32,128,3,1,1,83.78,922.72
