impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled,256,256,32,32,3,1,1,1.33,910.22
naive,256,256,32,32,3,1,1,1.36,886.29
tiled,256,256,32,64,3,1,1,2.48,973.71
naive,256,256,32,64,3,1,1,2.67,905.68
tiled,256,256,32,128,3,1,1,4.85,996.53
naive,256,256,32,128,3,1,1,5.29,913.57
tiled,512,512,32,32,3,1,1,5.08,951.33
naive,512,512,32,32,3,1,1,5.51,877.71
tiled,512,512,32,64,3,1,1,10.01,965.54
naive,512,512,32,64,3,1,1,10.89,887.79
tiled,512,512,32,128,3,1,1,19.90,971.35
naive,512,512,32,128,3,1,1,21.59,895.28
tiled,1024,1024,32,32,3,1,1,20.49,943.48
naive,1024,1024,32,32,3,1,1,22.27,868.03
tiled,1024,1024,32,64,3,1,1,40.80,947.44
naive,1024,1024,32,64,3,1,1,42.40,911.74
tiled,1024,1024,32,128,3,1,1,75.57,1023.08
naive,1024,1024,32,128,3,1,1,83.79,922.67
